GEO.id2,county,index_ethnicity_ae,index_ethnicity_ce,index_ethnicity_imr
Id2,County,"Hispanic, Architecture and Engineering","Hispanic, Construction and Extraction","Hispanic, Installation, Maintenance, and Repair"
25001,Barnstable,0.01,0.03,0.02
25003,Berkshire,0.03,0.02,0.01
25005,Bristol,0.11,0.32,0.2
25007,Dukes,0.0,0.0,0.0
25009,Essex,0.22,0.68,0.66
25011,Franklin,0.02,0.02,0.01
25013,Hampden,0.7,0.83,0.81
25015,Hampshire,0.04,0.01,0.06
25017,Middlesex,0.15,0.41,0.32
25019,Nantucket,0.4,0.74,0.14
25021,Norfolk,0.05,0.04,0.05
25023,Plymouth,0.04,0.05,0.07
25025,Suffolk,1.0,2.69,2.99
25027,Worcester,0.25,0.49,0.38
