GEO.id2,county,index_race_ae,index_race_ce,index_race_imr
Id2,County,"All other races, Architecture and Engineering","All other races, Construction and Extraction","All other races, Installation, Maintenance, and Repair"
25001,Barnstable,0.05,0.04,0.05
25003,Berkshire,0.03,0.04,0.06
25005,Bristol,0.14,0.28,0.17
25007,Dukes,0.0,0.0,0.0
25009,Essex,0.22,0.49,0.42
25011,Franklin,0.0,0.0,0.0
25013,Hampden,0.18,0.28,0.24
25015,Hampshire,0.05,0.1,0.05
25017,Middlesex,0.7,0.86,0.68
25019,Nantucket,0.0,0.0,0.0
25021,Norfolk,0.63,0.4,0.48
25023,Plymouth,0.11,0.17,0.19
25025,Suffolk,2.08,3.89,3.26
25027,Worcester,0.21,0.38,0.26
